Platform,Category,UserRecordType,Title,Country,ReleaseType,Publisher,Developer,Genre,CreatedAt,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Notes,Tags,metacritic
"PC","Games","Wishlist","Harvester","United States of America","Official","Merit Studios, Inc.","DigiFX Interactive","Point & Click","Mar 11, 2026","CIB","30.44","55.73","343.88","55.73","-1.0",?,?,?,"","","53",
"PC","Games","Wishlist","Magic: The Gathering - Tactics","World","Digital","Sony Online Entertainment","Missing Field","Missing Field","Mar 25, 2026","CIB","-1.0", "-1.0", "-1.0", "-1.0","-1.0",?,?,?,"","","62",
"PC","Games","Wishlist","Yu-Gi-Oh! Power of Chaos: Joey the Passion","United States of America","Official","Konami","Konami","Puzzle, Strategy","Aug 3, 2025","CIB","35","87.99","248.22","87.99","-1.0",?,?,?,"","","Missing Field",
"PC","Games","Wishlist","Yu-Gi-Oh! Power of Chaos: Kaiba the Revenge","United States of America","Official","Konami","Konami","Puzzle, Strategy","Aug 3, 2025","CIB","28.47","82.7","350.5","82.7","-1.0",?,?,?,"","","Missing Field",
"PC","Games","Wishlist","Yu-Gi-Oh! Power of Chaos: Yugi the Destiny","United States of America","Official","Konami","Konami","Puzzle, Strategy","Aug 3, 2025","CIB","20.47","25.49","61.79","25.49","-1.0",?,?,?,"","","52",
"Sony PSP","Games","Wishlist","Fate/Extra CCC","Japan","Official","Marvelous","Imageepoch","Action, Adventure, RPG, Puzzle, Strategy, Fighting","Oct 8, 2025","CIB","35.35","40.49","153.22","40.49","?",?,?,?,"","","Missing Field",
"Sony PSP","Games","Wishlist","Monster Hunter Freedom 2","United States of America","Official","Capcom","Capcom","Action, RPG","Feb 14, 2026","CIB","10.43","12.77","22.7","12.77","?",?,?,?,"","","72",
"Sony PSP","Games","Wishlist","Monster Hunter Freedom Unite","United States of America","Official","Capcom","Capcom","Action, RPG","Feb 14, 2026","CIB","22.8","30.5","50.54","30.5","?",?,?,?,"","","81",
"Sony PSP","Systems","Wishlist","Sony PSP-3000 [Black]","United States of America","Official","Sony","SCEI","Missing Field","Aug 18, 2025","New","124","155.25","175.5","175.5","?",?,?,?,"","","Missing Field",
"Sony PSP","Games","Wishlist","Yu-Gi-Oh! Duel Monsters GX: Tag Force 3","Japan","Official","Konami","Konami","RPG, Strategy, Board","Aug 3, 2025","CIB","4.59","9.49","18.5","9.49","-1.0",?,?,?,"","","Missing Field",
"Sony PSP","Games","Wishlist","Yu-Gi-Oh! GX: Tag Force 3","United Kingdom","Official","Konami","Konami","Strategy","Aug 3, 2025","CIB","54.92","60.83","153.82","60.83","-1.0",?,?,?,"","","Missing Field",
"Sega Dreamcast","Games","Wishlist","Magic: The Gathering","Japan","Official","Sega","Alfa System","Board","Mar 25, 2026","CIB","31.5","91.53","173.5","91.53","-1.0",?,?,?,"","","Missing Field",
